category	source_line	source_function	code
grub	5257	restore_grub_module	elif command -v grub2-mkconfig >/dev/null 2>&1; then
grub	5258	restore_grub_module	if grub2-mkconfig -o /boot/grub2/grub.cfg \
grub	5261	restore_grub_module	"log ""[i]     restore 2.4 GRUB: grub2-mkconfig выполнен"""
grub	5263	restore_grub_module	"log ""[WARN]  restore 2.4 GRUB: grub2-mkconfig завершился с ошибкой"""
grub	5267	restore_grub_module	"log ""[WARN]  restore 2.4 GRUB: update-grub / grub2-mkconfig не найден — требуется ручное обновление"""
systemctl	5502	read_systemd_unit_enabled_state	"systemctl is-enabled ""$unit_name"" \"
systemctl	5513	read_systemd_unit_enabled_state	'systemctl is-enabled returned no state for %s (rc=%s)\n' \
systemctl	5521	read_systemd_unit_enabled_state	'systemctl is-enabled returned unsupported state for %s: %s (rc=%s)\n' \
systemctl	5537	read_systemd_unit_active_state	"systemctl is-active ""$unit_name"" \"
systemctl	5552	read_systemd_unit_active_state	'systemctl is-active returned no state for %s (rc=%s)\n' \
systemctl	5560	read_systemd_unit_active_state	'systemctl is-active returned unsupported state for %s: %s (rc=%s)\n' \
systemctl	5882	restore_systemd_unit_exact_state	"if systemctl is-active --quiet ""$unit_name"" \"
systemctl	5885	restore_systemd_unit_exact_state	"systemctl stop ""$unit_name"" \"
systemctl	5890	restore_systemd_unit_exact_state	"systemctl unmask ""$unit_name"" \"
systemctl	5892	restore_systemd_unit_exact_state	"systemctl unmask --runtime ""$unit_name"" \"
systemctl	5899	restore_systemd_unit_exact_state	"systemctl disable --runtime ""$unit_name"" \"
systemctl	5901	restore_systemd_unit_exact_state	"systemctl enable ""$unit_name"" \"
systemctl	5905	restore_systemd_unit_exact_state	"systemctl disable ""$unit_name"" \"
systemctl	5907	restore_systemd_unit_exact_state	"systemctl enable --runtime ""$unit_name"" \"
systemctl	5911	restore_systemd_unit_exact_state	"systemctl disable ""$unit_name"" \"
systemctl	5913	restore_systemd_unit_exact_state	"systemctl disable --runtime ""$unit_name"" \"
systemctl	5917	restore_systemd_unit_exact_state	"systemctl disable ""$unit_name"" \"
systemctl	5919	restore_systemd_unit_exact_state	"systemctl disable --runtime ""$unit_name"" \"
systemctl	5921	restore_systemd_unit_exact_state	"systemctl mask ""$unit_name"" \"
systemctl	5925	restore_systemd_unit_exact_state	"systemctl disable ""$unit_name"" \"
systemctl	5927	restore_systemd_unit_exact_state	"systemctl disable --runtime ""$unit_name"" \"
systemctl	5929	restore_systemd_unit_exact_state	"systemctl mask --runtime ""$unit_name"" \"
systemctl	5933	restore_systemd_unit_exact_state	"systemctl disable ""$unit_name"" \"
systemctl	5935	restore_systemd_unit_exact_state	"systemctl disable --runtime ""$unit_name"" \"
systemctl	5945	restore_systemd_unit_exact_state	"if ! systemctl is-active --quiet ""$unit_name"" \"
systemctl	5948	restore_systemd_unit_exact_state	"systemctl start ""$unit_name"" \"
systemctl	5953	restore_systemd_unit_exact_state	"if systemctl is-active --quiet ""$unit_name"" \"
systemctl	5956	restore_systemd_unit_exact_state	"systemctl stop ""$unit_name"" \"
systemctl	6407	apply_sysctl_network_module	"systemctl unmask securelinux-ng-sysctl.service                 >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1 || true"
systemctl	6410	apply_sysctl_network_module	"systemctl unmask --runtime securelinux-ng-sysctl.service                 >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1 || true"
systemctl	6483	apply_sysctl_network_module	"if ! systemctl daemon-reload         >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1"
systemctl	6485	apply_sysctl_network_module	"add_error ""8.1-8.3 systemctl daemon-reload завершился с ошибкой"""
systemctl	6487	apply_sysctl_network_module	"""8.1-8.3 systemctl daemon-reload failed"" \"
systemctl	6493	apply_sysctl_network_module	systemctl enable securelinux-ng-sysctl.service \
systemctl	6546	restore_sysctl_network_module	systemctl disable securelinux-ng-sysctl.service \
systemctl	6548	restore_sysctl_network_module	systemctl disable --runtime securelinux-ng-sysctl.service \
systemctl	6553	restore_sysctl_network_module	elif ! systemctl daemon-reload \
systemctl	6557	restore_sysctl_network_module	"""restore network sysctl: systemctl daemon-reload завершился с ошибкой"""
systemctl	6576	restore_sysctl_network_module	systemctl enable securelinux-ng-sysctl.service \
systemctl	6580	restore_sysctl_network_module	systemctl enable --runtime securelinux-ng-sysctl.service \
systemctl	6584	restore_sysctl_network_module	systemctl mask securelinux-ng-sysctl.service \
systemctl	6588	restore_sysctl_network_module	systemctl mask --runtime securelinux-ng-sysctl.service \
chmod_chown	6680	apply_sudo_command_paths_module	"chmod go-w ""$item"" && chown root:root ""$item"" && {"
chmod_chown	6682	apply_sudo_command_paths_module	"record_manifest_apply_report                 ""2.3.4 chmod go-w + chown root: $item"""
chmod_chown	6683	apply_sudo_command_paths_module	"} || add_warning             ""2.3.4 chmod go-w / chown root failed: $item"""
chmod_chown	7161	apply_ssh_hardening_module	"|| ! chmod 0644 ""$ssh_tmp"" \"
chmod_chown	7162	apply_ssh_hardening_module	"|| ! chown root:root ""$ssh_tmp"""
systemctl	7253	apply_ssh_hardening_module	if systemctl reload sshd \
systemctl	7255	apply_ssh_hardening_module	|| systemctl reload ssh \
systemctl	7413	render_account_audit_report	systemctl list-units \
systemctl	7629	check_apparmor_module	if systemctl is-active --quiet apparmor 2>/dev/null; then
package	7646	pkg_installed	pkg_installed() {
package	7647	pkg_installed	"dpkg-query -W -f='${Status}' ""$1"" 2>/dev/null | grep -q ""install ok installed"""
package	7748	apt_update_once	"log ""[i]     apt-get update..."""
package	7749	apt_update_once	"if DEBIAN_FRONTEND=noninteractive apt-get update -q >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
package	7752	apt_update_once	"add_warning ""apt-get update завершился с ошибкой — последующие установки пакетов могут не работать"""
package	7780	apply_apparmor_module	pkg_installed apparmor && apparmor_was_installed=1
package	7782	apply_apparmor_module	install_packages_transactionally \
package	7795	apply_apparmor_module	"record_manifest_warning ""AppArmor: apt-get install failed"""
systemctl	7800	apply_apparmor_module	systemctl enable --now apparmor.service \
systemctl	7811	apply_apparmor_module	"add_error ""AppArmor: systemctl enable --now завершился с ошибкой"""
systemctl	7812	apply_apparmor_module	"record_manifest_warning ""AppArmor: systemctl enable --now failed"""
package	7895	apply_aide_module	if ! pkg_installed aide; then
package	7896	apply_aide_module	"install_packages_transactionally ""aide"" aide || true"
package	7906	apply_aide_module	"record_manifest_warning ""AIDE: apt-get install failed"""
systemctl	8020	read_fail2ban_service_active_state	systemctl is-active fail2ban.service \
systemctl	8035	read_fail2ban_service_active_state	'systemctl is-active returned no state for fail2ban.service (rc=%s)\n' \
systemctl	8042	read_fail2ban_service_active_state	'systemctl is-active returned unsupported state for fail2ban.service: %s (rc=%s)\n' \
systemctl	8318	restore_fail2ban_service_state	if ! systemctl unmask fail2ban.service \
systemctl	8324	restore_fail2ban_service_state	if ! systemctl enable fail2ban.service \
systemctl	8331	restore_fail2ban_service_state	if ! systemctl unmask fail2ban.service \
systemctl	8337	restore_fail2ban_service_state	if ! systemctl enable --runtime fail2ban.service \
systemctl	8344	restore_fail2ban_service_state	if ! systemctl unmask fail2ban.service \
systemctl	8350	restore_fail2ban_service_state	if ! systemctl disable fail2ban.service \
systemctl	8366	restore_fail2ban_service_state	if ! systemctl disable fail2ban.service \
systemctl	8382	restore_fail2ban_service_state	if ! systemctl restart fail2ban.service \
systemctl	8389	restore_fail2ban_service_state	if ! systemctl stop fail2ban.service \
systemctl	8392	restore_fail2ban_service_state	if systemctl is-active --quiet fail2ban.service \
systemctl	8406	restore_fail2ban_service_state	if ! systemctl mask fail2ban.service \
systemctl	8413	restore_fail2ban_service_state	if ! systemctl mask --runtime fail2ban.service \
systemctl	8433	check_fail2ban_module	if systemctl is-active --quiet fail2ban 2>/dev/null; then
package	8537	apply_fail2ban_module	if ! pkg_installed fail2ban; then
package	8541	apply_fail2ban_module	install_packages_transactionally \
package	8552	apply_fail2ban_module	"""fail2ban: apt-get install failed"""
package	8565	apply_fail2ban_module	if ! pkg_installed fail2ban; then
systemctl	8611	apply_fail2ban_module	if ! systemctl enable --now fail2ban.service \
systemctl	8619	apply_fail2ban_module	if ! systemctl is-active --quiet fail2ban.service \
systemctl	8700	apply_fail2ban_module	if ! systemctl enable --now fail2ban.service \
systemctl	8706	apply_fail2ban_module	"""fail2ban: systemctl enable --now failed after writing jail.local"""
systemctl	8710	apply_fail2ban_module	if ! systemctl is-active --quiet fail2ban.service \
systemctl	8794	restore_fail2ban_module	if ! systemctl restart fail2ban.service \
package	8834	apply_rkhunter_module	if ! pkg_installed rkhunter; then
package	8835	apply_rkhunter_module	"install_packages_transactionally ""rkhunter"" rkhunter || true"
package	8845	apply_rkhunter_module	"record_manifest_warning ""rkhunter: apt-get install failed"""
package	8855	apply_rkhunter_module	"record_manifest_irreversible_change ""rkhunter: установлен — удалить вручную: apt-get remove rkhunter"""
package	8876	restore_rkhunter_module	"log ""[i]     restore rkhunter: пакет не удаляется автоматически; при необходимости удалите вручную: apt-get remove rkhunter"""
mount	9101	check_mount_hardening_module	"add_skipped ""mount hardening пропущен: требуется профиль paranoid (текущий: ${PROFILE})"""
mount	9106	check_mount_hardening_module	"if mountpoint -q ""$target"" 2>/dev/null; then"
mount	9108	check_mount_hardening_module	"opts=$(findmnt -n -o OPTIONS --target ""$target"" 2>/dev/null || echo """")"
mount	9115	check_mount_hardening_module	"add_safe ""mount hardening: /dev/shm и /var/tmp проверены"""
mount	9117	check_mount_hardening_module	"add_risky ""mount hardening: ${issues[*]} (requires_reboot)"""
mount	9123	apply_mount_hardening_module	"add_skipped ""mount hardening пропущен: требуется профиль paranoid (текущий: ${PROFILE})"""
mount	9128	apply_mount_hardening_module	"log ""[DRY-RUN] harden /dev/shm and /var/tmp in /etc/fstab"""
mount	9129	apply_mount_hardening_module	"add_skipped ""mount hardening dry-run"""
mount	9133	apply_mount_hardening_module	"local fstab=""/etc/fstab"""
mount	9134	apply_mount_hardening_module	"if [[ ! -f ""$fstab"" ]]; then"
mount	9135	apply_mount_hardening_module	"add_warning ""mount hardening: $fstab не найден"""
mount	9139	apply_mount_hardening_module	"local bak=""$STATE_DIR/fstab.bak-$TIMESTAMP"""
mount	9140	apply_mount_hardening_module	"if ! manifest_has_backup_for ""$fstab""; then"
mount	9141	apply_mount_hardening_module	"if ! backup_file_checked ""$fstab"" ""$bak"" ""mount hardening fstab""; then"
mount	9142	apply_mount_hardening_module	"add_skipped ""mount hardening apply skipped: fstab backup failed"""
mount	9145	apply_mount_hardening_module	"if ! record_manifest_backup             ""$fstab""             ""$bak"""
mount	9147	apply_mount_hardening_module	"add_error                 ""mount hardening: не удалось записать backup mapping для $fstab"""
mount	9150	apply_mount_hardening_module	"add_warning                     ""mount hardening: не удалось удалить незарегистрированный backup $bak"""
mount	9158	apply_mount_hardening_module	"add_error             ""mount hardening: не удалось записать typed restore-state"""
mount	9163	apply_mount_hardening_module	"""$fstab"" \"
mount	9165	apply_mount_hardening_module	"python3 - ""$fstab"" <<'PYEOF'"
mount	9195	apply_mount_hardening_module	"add_error ""mount hardening: не удалось атомарно обновить $fstab"""
mount	9197	apply_mount_hardening_module	"""mount hardening: atomic fstab update failed"""
mount	9201	apply_mount_hardening_module	"record_manifest_modified_file_best_effort ""$fstab"""
mount	9202	apply_mount_hardening_module	"record_manifest_apply_report         ""mount hardening: /dev/shm and /var/tmp entries added to fstab""         || add_warning ""mount hardening: apply-report не записан"""
mount	9203	apply_mount_hardening_module	"record_manifest_irreversible_change         ""mount hardening: fstab modified — эффект после перезагрузки""         || add_warning ""mount hardening: irreversible report не записан"""
mount	9206	apply_mount_hardening_module	if mountpoint -q /dev/shm 2>/dev/null; then
mount	9207	apply_mount_hardening_module	"mount -o remount,nosuid,nodev,noexec /dev/shm 2>/dev/null             && add_safe ""mount hardening: /dev/shm remount выполнен""             || add_warning ""mount hardening: /dev/shm remount не удался — эффект после перезагрузки"""
mount	9212	apply_mount_hardening_module	if mountpoint -q /var/tmp 2>/dev/null; then
mount	9213	apply_mount_hardening_module	"mount -o remount,nosuid,nodev,noexec /var/tmp 2>/dev/null             && add_safe ""mount hardening: /var/tmp remount выполнен""             || add_warning ""mount hardening: /var/tmp remount не удался — эффект после перезагрузки"""
mount	9215	apply_mount_hardening_module	"mount -t tmpfs -o nosuid,nodev,noexec,mode=1777 tmpfs /var/tmp 2>/dev/null             && add_safe ""mount hardening: /var/tmp смонтирован как tmpfs""             || add_warning ""mount hardening: /var/tmp mount не удался — эффект после перезагрузки"""
mount	9220	restore_mount_hardening_module	"if ! restore_fstab_module_if_required         ""mount_hardening"" ""mount hardening"""
mount	9226	restore_mount_hardening_module	"add_warning             ""restore mount hardening: для полного отката требуется перезагрузка"""
mount	9236	check_tmp_tmpfs_module	"if findmnt -n -o FSTYPE --target /tmp 2>/dev/null | grep -qx ""tmpfs""; then"
mount	9238	check_tmp_tmpfs_module	"opts=$(findmnt -n -o OPTIONS --target /tmp 2>/dev/null || echo """")"
mount	9251	check_tmp_tmpfs_module	if grep -qE '^\s*tmpfs\s+/tmp\s+tmpfs' /etc/fstab 2>/dev/null; then
mount	9252	check_tmp_tmpfs_module	"add_safe ""/tmp: запись в /etc/fstab присутствует"""
mount	9254	check_tmp_tmpfs_module	"add_risky ""/tmp: запись в /etc/fstab отсутствует (requires_reboot)"""
mount	9265	apply_tmp_tmpfs_module	"log ""[DRY-RUN] add tmpfs /tmp to /etc/fstab with nosuid,nodev,noexec,mode=1777"""
mount	9266	apply_tmp_tmpfs_module	"log ""[DRY-RUN] mount -o remount /tmp"""
mount	9271	apply_tmp_tmpfs_module	"local fstab=""/etc/fstab"""
mount	9272	apply_tmp_tmpfs_module	"if [[ ! -f ""$fstab"" ]]; then"
mount	9273	apply_tmp_tmpfs_module	"add_warning ""/tmp: $fstab не найден — пропуск"""
mount	9278	apply_tmp_tmpfs_module	"if ! python3 -c ""import sys,json,pathlib; d=json.loads(pathlib.Path(sys.argv[1]).read_text()); sys.exit(0 if any(e.get('original')=='/etc/fstab' for e in d.get('backups',[]) if isinstance(e,dict)) else 1)"" ""$MANIFEST_FILE"" 2>/dev/null; then"
mount	9279	apply_tmp_tmpfs_module	"local bak=""$STATE_DIR/fstab.bak-$TIMESTAMP"""
mount	9280	apply_tmp_tmpfs_module	"if ! backup_file_checked ""$fstab"" ""$bak"" ""/tmp tmpfs fstab""; then"
mount	9281	apply_tmp_tmpfs_module	"add_skipped ""/tmp tmpfs apply skipped: fstab backup failed"""
mount	9284	apply_tmp_tmpfs_module	"if ! record_manifest_backup             ""$fstab""             ""$bak"""
mount	9286	apply_tmp_tmpfs_module	"add_error                 ""/tmp: не удалось записать backup mapping для $fstab"""
mount	9302	apply_tmp_tmpfs_module	"""$fstab"" \"
mount	9304	apply_tmp_tmpfs_module	"python3 - ""$fstab"" <<'PYEOF'"
mount	9330	apply_tmp_tmpfs_module	"add_error ""/tmp: не удалось атомарно обновить $fstab"""
mount	9332	apply_tmp_tmpfs_module	"""/tmp: atomic fstab update failed"""
mount	9336	apply_tmp_tmpfs_module	"record_manifest_modified_file_best_effort ""$fstab"""
mount	9337	apply_tmp_tmpfs_module	"record_manifest_apply_report         ""/tmp: tmpfs entry added to /etc/fstab""         || add_warning ""/tmp: apply-report не записан"""
mount	9338	apply_tmp_tmpfs_module	"record_manifest_irreversible_change         ""/tmp: fstab modified — эффект после перезагрузки""         || add_warning ""/tmp: irreversible report не записан"""
mount	9341	apply_tmp_tmpfs_module	"if findmnt -n -o FSTYPE --target /tmp 2>/dev/null | grep -qx ""tmpfs""; then"
mount	9342	apply_tmp_tmpfs_module	"mount -o remount,nosuid,nodev,noexec,mode=1777 /tmp 2>/dev/null             && add_safe ""/tmp: remount с nosuid,nodev,noexec выполнен""             || add_warning ""/tmp: remount не удался — эффект после перезагрузки"""
mount	9344	apply_tmp_tmpfs_module	"mount /tmp 2>/dev/null             && add_safe ""/tmp: смонтирован как tmpfs""             || add_warning ""/tmp: mount не удался — эффект после перезагрузки"""
ufw	9361	check_ufw_module	if ! command -v ufw >/dev/null 2>&1; then
ufw	9362	check_ufw_module	"add_risky ""firewall: ufw не установлен"""
ufw	9365	check_ufw_module	"if ufw status 2>/dev/null | grep -q ""^Status: active""; then"
ufw	9366	check_ufw_module	"add_safe ""firewall: ufw активен"""
ufw	9368	check_ufw_module	"add_risky ""firewall: ufw установлен но не активен"""
ufw	9374	apply_ufw_module	"log ""[DRY-RUN] install ufw, default deny incoming, allow SSH"""
ufw	9375	apply_ufw_module	"add_skipped ""firewall dry-run: ufw would be configured"""
ufw	9390	apply_ufw_module	"ufw status 2>/dev/null | grep -q ""^Status: active"" \"
systemctl	9392	apply_ufw_module	systemctl is-enabled ufw >/dev/null 2>&1 \
ufw	9392	apply_ufw_module	systemctl is-enabled ufw >/dev/null 2>&1 \
systemctl	9394	apply_ufw_module	systemctl is-active nftables >/dev/null 2>&1 \
systemctl	9396	apply_ufw_module	systemctl is-enabled nftables >/dev/null 2>&1 \
ufw	9399	apply_ufw_module	"log ""[i]     ufw: установка пакета..."""
package	9401	apply_ufw_module	if ! pkg_installed ufw; then
ufw	9401	apply_ufw_module	if ! pkg_installed ufw; then
package	9402	apply_ufw_module	"install_packages_transactionally ""firewall"" ufw || true"
ufw	9402	apply_ufw_module	"install_packages_transactionally ""firewall"" ufw || true"
ufw	9405	apply_ufw_module	"add_error ""firewall: package transaction ufw не зафиксирована"""
ufw	9411	apply_ufw_module	"add_error ""firewall: не удалось установить ufw"""
package	9412	apply_ufw_module	"record_manifest_warning ""firewall: apt-get install ufw failed"" || true"
ufw	9412	apply_ufw_module	"record_manifest_warning ""firewall: apt-get install ufw failed"" || true"
ufw	9423	apply_ufw_module	"ufw_added_rules=""$(ufw show added 2>/dev/null || true)"""
ufw	9425	apply_ufw_module	"if grep -Eq '^[[:space:]]*ufw[[:space:]]+' <<<""$ufw_added_rules""; then"
ufw	9426	apply_ufw_module	"add_error ""firewall: ufw неактивен, но содержит предварительно настроенные правила — автоматическое включение заблокировано"""
ufw	9427	apply_ufw_module	"record_manifest_warning ""firewall: inactive ufw has preconfigured rules; automatic enable skipped"" || true"
ufw	9428	apply_ufw_module	"add_policy_gate ""firewall: review inactive preconfigured ufw rules before apply"""
systemctl	9467	apply_ufw_module	systemctl stop nftables 2>/dev/null || nftables_apply_ok=0
systemctl	9470	apply_ufw_module	systemctl mask nftables 2>/dev/null || nftables_apply_ok=0
ufw	9503	apply_ufw_module	"if ! ufw allow ""${ssh_port}/tcp"" comment ""SSH"" >/dev/null 2>&1; then"
ufw	9505	apply_ufw_module	"add_warning ""firewall: ufw уже активен, но не удалось добавить/подтвердить правило SSH ${ssh_port}/tcp"""
ufw	9506	apply_ufw_module	"record_manifest_warning ""firewall: pre-active ufw, failed to apply SSH rule ${ssh_port}/tcp"" || true"
ufw	9514	apply_ufw_module	"if ! ufw allow ""$_port"" comment ""$_comment"" >/dev/null 2>&1; then"
ufw	9516	apply_ufw_module	"add_warning ""firewall: ufw уже активен, но не удалось добавить дополнительное правило ${_port} (${_comment})"""
ufw	9517	apply_ufw_module	"record_manifest_warning ""firewall: pre-active ufw, failed to apply extra rule ${_port}:${_comment}"" || true"
systemctl	9538	apply_ufw_module	"if ! systemctl enable ufw >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
ufw	9538	apply_ufw_module	"if ! systemctl enable ufw >>""${DEBUG_LOG_FILE:-/dev/null}"" 2>&1; then"
ufw	9539	apply_ufw_module	"add_error ""firewall: не удалось включить службу ufw"""
ufw	9540	apply_ufw_module	"record_manifest_warning ""firewall: pre-active ufw service enable failed"" || true"
ufw	9546	apply_ufw_module	ufw_default_in=$(ufw status verbose 2>/dev/null | awk '/^Default:/{print $2}')
ufw	9549	apply_ufw_module	"add_error ""firewall: ufw уже активен, политика по умолчанию incoming=${ufw_default_in:-unknown} — ФСТЭК требует deny. Исправьте вручную: ufw default deny incoming"""
